[microsoft__dit-base | Fold 1 | Frozen 1/15] MAE 9.308
[microsoft__dit-large | Fold 4 | Frozen 5/15] MAE 7.636
[microsoft__dit-large | Fold 4 | Frozen 6/15] MAE 7.907
[microsoft__dit-large | Fold 4 | Frozen 7/15] MAE 9.345
[microsoft__dit-large | Fold 4 | Frozen 8/15] MAE 8.917
[microsoft__dit-large | Fold 4 | Frozen 9/15] MAE 7.663
[microsoft__dit-large | Fold 4 | Frozen 10/15] MAE 9.704
[microsoft__dit-large | Fold 4 | Frozen 11/15] MAE 7.801
[microsoft__dit-large | Fold 4 | Frozen 12/15] MAE 7.845
[microsoft__dit-large | Fold 4 | Frozen 13/15] MAE 7.307
[microsoft__dit-large | Fold 4 | Frozen 14/15] MAE 8.308
[microsoft__dit-large | Fold 4 | Frozen 15/15] MAE 8.189
[microsoft__dit-large] Unfreezing backbone …
[microsoft__dit-large | Fold 4 | FT 1/30] MAE 7.660
[microsoft__dit-large | Fold 4 | FT 2/30] MAE 7.328
[microsoft__dit-large | Fold 4 | FT 3/30] MAE 7.253
[microsoft__dit-large | Fold 4 | FT 4/30] MAE 6.742
[microsoft__dit-large | Fold 4 | FT 5/30] MAE 6.376
[microsoft__dit-large | Fold 4 | FT 6/30] MAE 6.261
[microsoft__dit-large | Fold 4 | FT 7/30] MAE 7.790
[microsoft__dit-large | Fold 4 | FT 8/30] MAE 6.340
[microsoft__dit-large | Fold 4 | FT 9/30] MAE 7.452
[microsoft__dit-large | Fold 4 | FT 10/30] MAE 6.074
[microsoft__dit-large | Fold 4 | FT 11/30] MAE 5.965
[microsoft__dit-large | Fold 4 | FT 12/30] MAE 6.397
[microsoft__dit-large | Fold 4 | FT 13/30] MAE 7.241
[microsoft__dit-large | Fold 4 | FT 14/30] MAE 6.290
[microsoft__dit-large | Fold 4 | FT 15/30] MAE 5.926
[microsoft__dit-large | Fold 4 | FT 16/30] MAE 5.884
[microsoft__dit-large | Fold 4 | FT 17/30] MAE 6.513
[microsoft__dit-large | Fold 4 | FT 18/30] MAE 7.365
[microsoft__dit-large | Fold 4 | FT 19/30] MAE 6.305
[microsoft__dit-large | Fold 4 | FT 20/30] MAE 6.465
[microsoft__dit-large | Fold 4 | FT 21/30] MAE 6.701
[microsoft__dit-large | Fold 4 | FT 22/30] MAE 7.384
[microsoft__dit-large | Fold 4 | FT 23/30] MAE 5.805
[microsoft__dit-large | Fold 4 | FT 24/30] MAE 5.807
[microsoft__dit-large | Fold 4 | FT 25/30] MAE 6.354
[microsoft__dit-large | Fold 4 | FT 26/30] MAE 5.915
[microsoft__dit-large | Fold 4 | FT 27/30] MAE 6.072
[microsoft__dit-large | Fold 4 | FT 28/30] MAE 6.684
[microsoft__dit-large | Fold 4 | FT 29/30] MAE 5.803
[microsoft__dit-large | Fold 4 | FT 30/30] MAE 5.563
[microsoft__dit-large] Evaluating best checkpoint on fold 4 …

===== microsoft__dit-large | Fold 5/5 =====
Some weights of BeitModel were not initialized from the model checkpoint at microsoft/dit-large and are newly initialized: ['pooler.layernorm.bias', 'pooler.layernorm.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[microsoft__dit-large | Fold 5 | Frozen 1/15] MAE 63.814
[microsoft__dit-large | Fold 5 | Frozen 2/15] MAE 20.977
[microsoft__dit-large | Fold 5 | Frozen 3/15] MAE 12.497
[microsoft__dit-large | Fold 5 | Frozen 4/15] MAE 7.993
[microsoft__dit-large | Fold 5 | Frozen 5/15] MAE 7.028
[microsoft__dit-large | Fold 5 | Frozen 6/15] MAE 8.168
[microsoft__dit-large | Fold 5 | Frozen 7/15] MAE 7.431
[microsoft__dit-large | Fold 5 | Frozen 8/15] MAE 7.383
[microsoft__dit-large | Fold 5 | Frozen 9/15] MAE 7.608
[microsoft__dit-large | Fold 5 | Frozen 10/15] MAE 7.435
[microsoft__dit-large | Fold 5 | Frozen 11/15] MAE 7.435
[microsoft__dit-large | Fold 5 | Frozen 12/15] MAE 7.518
[microsoft__dit-large | Fold 5 | Frozen 13/15] MAE 7.434
[microsoft__dit-large | Fold 5 | Frozen 14/15] MAE 7.359
[microsoft__dit-large | Fold 5 | Frozen 15/15] MAE 7.376
[microsoft__dit-large] Unfreezing backbone …
[microsoft__dit-large | Fold 5 | FT 1/30] MAE 8.140
[microsoft__dit-large | Fold 5 | FT 2/30] MAE 6.984
[microsoft__dit-large | Fold 5 | FT 3/30] MAE 6.950
[microsoft__dit-large | Fold 5 | FT 4/30] MAE 7.027
[microsoft__dit-large | Fold 5 | FT 5/30] MAE 7.237
[microsoft__dit-large | Fold 5 | FT 6/30] MAE 7.036
[microsoft__dit-large | Fold 5 | FT 7/30] MAE 6.822
[microsoft__dit-large | Fold 5 | FT 8/30] MAE 6.427
[microsoft__dit-large | Fold 5 | FT 9/30] MAE 6.395
[microsoft__dit-large | Fold 5 | FT 10/30] MAE 6.168
[microsoft__dit-large | Fold 5 | FT 11/30] MAE 6.295
[microsoft__dit-large | Fold 5 | FT 12/30] MAE 5.942
[microsoft__dit-large | Fold 5 | FT 13/30] MAE 6.707
[microsoft__dit-large | Fold 5 | FT 14/30] MAE 5.799
[microsoft__dit-large | Fold 5 | FT 15/30] MAE 6.792
[microsoft__dit-large | Fold 5 | FT 16/30] MAE 5.567
[microsoft__dit-large | Fold 5 | FT 17/30] MAE 6.196
[microsoft__dit-large | Fold 5 | FT 18/30] MAE 5.561
[microsoft__dit-large | Fold 5 | FT 19/30] MAE 5.580
[microsoft__dit-large | Fold 5 | FT 20/30] MAE 5.517
[microsoft__dit-large | Fold 5 | FT 21/30] MAE 5.662
[microsoft__dit-large | Fold 5 | FT 22/30] MAE 5.579
[microsoft__dit-large | Fold 5 | FT 23/30] MAE 5.767
[microsoft__dit-large | Fold 5 | FT 24/30] MAE 5.688
[microsoft__dit-large | Fold 5 | FT 25/30] MAE 6.424
[microsoft__dit-large | Fold 5 | FT 26/30] MAE 6.740
[microsoft__dit-large | Fold 5 | FT 27/30] MAE 5.849
[microsoft__dit-large | Fold 5 | FT 28/30] MAE 5.558
[microsoft__dit-large | Fold 5 | FT 29/30] MAE 6.176
[microsoft__dit-large | Fold 5 | FT 30/30] MAE 6.260
[microsoft__dit-large] Evaluating best checkpoint on fold 5 …

══════ CV SUMMARY ══════
MAE       : 6.457 ± 0.929
RMSE      : 11.184 ± 1.029
R2        : 0.136 ± 0.043
MAPE      : 23.376 ± 5.290
Within2   : 36.993 ± 5.874
Within5   : 65.699 ± 7.989
Within10  : 82.950 ± 3.657
MaxErr    : 56.380 ± 7.291
MedianErr : 3.029 ± 0.778
MinErr    : 0.038 ± 0.037
preprocessor_config.json: 100%
 302/302 [00:00<00:00, 38.3kB/s]
/usr/local/lib/python3.12/dist-packages/transformers/image_processing_base.py:412: UserWarning: The following named arguments are not valid for `BeitImageProcessor.__init__` and were ignored: 'feature_extractor_type', 'reduce_labels'
  image_processor = cls(**image_processor_dict)

===== microsoft__dit-base-finetuned-rvlcdip | Fold 1/5 =====
config.json: 
 1.79k/? [00:00<00:00, 203kB/s]
pytorch_model.bin: 100%
 343M/343M [00:01<00:00, 243MB/s]
model.safetensors: 100%
 343M/343M [00:01<00:00, 449MB/s]
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 1/15] MAE 9.271
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 2/15] MAE 9.435
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 3/15] MAE 8.945
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 4/15] MAE 9.033
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 5/15] MAE 8.893
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 6/15] MAE 8.884
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 7/15] MAE 8.981
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 8/15] MAE 9.070
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 9/15] MAE 8.566
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 10/15] MAE 8.994
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 11/15] MAE 8.638
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 12/15] MAE 8.798
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 13/15] MAE 8.517
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 14/15] MAE 8.460
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | Frozen 15/15] MAE 8.389
[microsoft__dit-base-finetuned-rvlcdip] Unfreezing backbone …
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 1/30] MAE 8.548
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 2/30] MAE 7.503
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 3/30] MAE 7.363
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 4/30] MAE 7.878
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 5/30] MAE 7.700
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 6/30] MAE 7.643
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 7/30] MAE 7.735
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 8/30] MAE 7.747
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 9/30] MAE 7.183
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 10/30] MAE 7.367
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 11/30] MAE 7.311
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 12/30] MAE 7.028
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 13/30] MAE 7.144
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 14/30] MAE 7.160
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 15/30] MAE 6.851
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 16/30] MAE 6.941
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 17/30] MAE 7.805
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 18/30] MAE 7.251
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 19/30] MAE 9.363
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 20/30] MAE 6.881
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 21/30] MAE 7.040
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 22/30] MAE 7.666
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 23/30] MAE 7.006
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 24/30] MAE 7.058
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 25/30] MAE 6.743
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 26/30] MAE 6.887
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 27/30] MAE 6.796
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 28/30] MAE 6.638
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 29/30] MAE 6.722
[microsoft__dit-base-finetuned-rvlcdip | Fold 1 | FT 30/30] MAE 7.627
[microsoft__dit-base-finetuned-rvlcdip] Evaluating best checkpoint on fold 1 …

===== microsoft__dit-base-finetuned-rvlcdip | Fold 2/5 =====
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 1/15] MAE 7.881
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 2/15] MAE 7.419
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 3/15] MAE 7.396
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 4/15] MAE 7.381
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 5/15] MAE 7.521
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 6/15] MAE 7.513
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 7/15] MAE 7.399
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 8/15] MAE 7.349
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 9/15] MAE 7.410
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 10/15] MAE 7.360
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 11/15] MAE 7.439
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 12/15] MAE 7.285
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 13/15] MAE 7.333
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 14/15] MAE 7.318
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | Frozen 15/15] MAE 7.241
[microsoft__dit-base-finetuned-rvlcdip] Unfreezing backbone …
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 1/30] MAE 6.996
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 2/30] MAE 6.386
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 3/30] MAE 6.054
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 4/30] MAE 6.023
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 5/30] MAE 6.158
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 6/30] MAE 6.026
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 7/30] MAE 5.867
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 8/30] MAE 6.241
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 9/30] MAE 6.411
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 10/30] MAE 5.957
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 11/30] MAE 5.757
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 12/30] MAE 5.808
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 13/30] MAE 5.609
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 14/30] MAE 5.712
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 15/30] MAE 5.528
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 16/30] MAE 5.791
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 17/30] MAE 5.743
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 18/30] MAE 5.795
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 19/30] MAE 5.556
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 20/30] MAE 5.757
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 21/30] MAE 5.579
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 22/30] MAE 5.537
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 23/30] MAE 5.496
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 24/30] MAE 5.461
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 25/30] MAE 5.733
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 26/30] MAE 6.043
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 27/30] MAE 6.258
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 28/30] MAE 5.532
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 29/30] MAE 5.622
[microsoft__dit-base-finetuned-rvlcdip | Fold 2 | FT 30/30] MAE 5.721
[microsoft__dit-base-finetuned-rvlcdip] Evaluating best checkpoint on fold 2 …

===== microsoft__dit-base-finetuned-rvlcdip | Fold 3/5 =====
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 1/15] MAE 45.558
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 2/15] MAE 25.791
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 3/15] MAE 10.406
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 4/15] MAE 9.544
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 5/15] MAE 9.218
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 6/15] MAE 9.209
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 7/15] MAE 8.998
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 8/15] MAE 8.890
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 9/15] MAE 8.780
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 10/15] MAE 8.645
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 11/15] MAE 8.531
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 12/15] MAE 8.436
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 13/15] MAE 8.343
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 14/15] MAE 8.264
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | Frozen 15/15] MAE 8.204
[microsoft__dit-base-finetuned-rvlcdip] Unfreezing backbone …
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 1/30] MAE 7.651
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 2/30] MAE 8.040
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 3/30] MAE 7.392
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 4/30] MAE 8.286
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 5/30] MAE 7.903
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 6/30] MAE 8.036
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 7/30] MAE 7.455
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 8/30] MAE 7.191
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 9/30] MAE 7.037
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 10/30] MAE 7.381
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 11/30] MAE 7.059
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 12/30] MAE 7.349
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 13/30] MAE 7.415
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 14/30] MAE 7.579
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 15/30] MAE 7.419
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 16/30] MAE 7.445
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 17/30] MAE 7.684
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 18/30] MAE 7.253
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 19/30] MAE 7.404
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 20/30] MAE 7.563
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 21/30] MAE 7.459
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 22/30] MAE 7.445
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 23/30] MAE 7.562
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 24/30] MAE 7.405
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 25/30] MAE 7.541
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 26/30] MAE 7.677
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 27/30] MAE 7.698
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 28/30] MAE 7.581
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 29/30] MAE 7.359
[microsoft__dit-base-finetuned-rvlcdip | Fold 3 | FT 30/30] MAE 7.596
[microsoft__dit-base-finetuned-rvlcdip] Evaluating best checkpoint on fold 3 …

===== microsoft__dit-base-finetuned-rvlcdip | Fold 4/5 =====
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 1/15] MAE 23.593
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 2/15] MAE 8.314
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 3/15] MAE 9.551
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 4/15] MAE 7.436
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 5/15] MAE 6.771
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 6/15] MAE 7.923
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 7/15] MAE 7.262
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 8/15] MAE 7.282
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 9/15] MAE 6.809
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 10/15] MAE 6.900
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 11/15] MAE 7.310
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 12/15] MAE 6.745
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 13/15] MAE 6.981
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 14/15] MAE 6.566
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | Frozen 15/15] MAE 7.107
[microsoft__dit-base-finetuned-rvlcdip] Unfreezing backbone …
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 1/30] MAE 6.018
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 2/30] MAE 5.979
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 3/30] MAE 6.226
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 4/30] MAE 6.404
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 5/30] MAE 6.844
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 6/30] MAE 7.089
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 7/30] MAE 6.045
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 8/30] MAE 5.910
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 9/30] MAE 5.742
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 10/30] MAE 5.371
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 11/30] MAE 5.487
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 12/30] MAE 6.318
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 13/30] MAE 5.647
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 14/30] MAE 5.907
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 15/30] MAE 5.579
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 16/30] MAE 5.417
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 17/30] MAE 5.289
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 18/30] MAE 5.011
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 19/30] MAE 5.584
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 20/30] MAE 5.241
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 21/30] MAE 5.796
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 22/30] MAE 6.026
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 23/30] MAE 5.171
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 24/30] MAE 5.099
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 25/30] MAE 5.156
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 26/30] MAE 5.157
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 27/30] MAE 4.911
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 28/30] MAE 5.035
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 29/30] MAE 5.102
[microsoft__dit-base-finetuned-rvlcdip | Fold 4 | FT 30/30] MAE 4.837
[microsoft__dit-base-finetuned-rvlcdip] Evaluating best checkpoint on fold 4 …

===== microsoft__dit-base-finetuned-rvlcdip | Fold 5/5 =====
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 1/15] MAE 7.703
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 2/15] MAE 7.394
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 3/15] MAE 7.176
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 4/15] MAE 7.255
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 5/15] MAE 7.082
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 6/15] MAE 7.120
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 7/15] MAE 7.006
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 8/15] MAE 7.100
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 9/15] MAE 6.930
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 10/15] MAE 6.911
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 11/15] MAE 6.887
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 12/15] MAE 6.830
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 13/15] MAE 6.794
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 14/15] MAE 6.769
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | Frozen 15/15] MAE 6.746
[microsoft__dit-base-finetuned-rvlcdip] Unfreezing backbone …
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 1/30] MAE 6.045
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 2/30] MAE 6.056
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 3/30] MAE 5.913
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 4/30] MAE 6.060
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 5/30] MAE 5.724
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 6/30] MAE 5.770
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 7/30] MAE 5.661
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 8/30] MAE 5.505
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 9/30] MAE 5.599
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 10/30] MAE 5.648
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 11/30] MAE 5.648
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 12/30] MAE 5.737
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 13/30] MAE 5.631
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 14/30] MAE 5.591
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 15/30] MAE 5.550
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 16/30] MAE 5.825
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 17/30] MAE 5.533
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 18/30] MAE 5.409
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 19/30] MAE 5.483
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 20/30] MAE 5.675
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 21/30] MAE 5.581
